Word	FREQcount	CDcount	Spellcheck
a	1349974	12092	TRUE
aa	210	132	FALSE
aaa	46	23	FALSE
aaaa	12	9	FALSE
aaaaa	3	3	FALSE
aaaaaaaaaah	3	3	FALSE
aaaaaaah	4	4	FALSE
aaaaaah	7	7	FALSE
aaaaah	21	14	FALSE
aaaaahhhh	4	4	FALSE
aaaah	37	28	FALSE
aaaargh	10	5	FALSE
aaagh	3	3	FALSE
aaah	117	62	FALSE
aaahh	7	7	FALSE
aaahhh	16	10	FALSE
aaahhhh	5	4	FALSE
aaai	9	5	FALSE
aaargh	19	9	FALSE
aaau	3	3	FALSE
aachen	11	8	FALSE
aacho	4	4	FALSE
aage	42	6	FALSE
aagh	8	8	FALSE
aah	546	185	FALSE
aahh	17	11	FALSE
aahhh	6	5	FALSE
aai	4	4	FALSE
aalemanha	5	4	FALSE
aamir	8	5	FALSE
aan	11	3	FALSE
aang	224	23	FALSE
aaquela	3	3	FALSE
aardvark	7	5	TRUE
aargh	17	9	FALSE
aarne	3	3	FALSE
aaron	715	146	FALSE
aarons	9	4	FALSE
aaronson	9	7	FALSE
aarón	5	3	FALSE
aas	12	10	FALSE
aau	4	3	FALSE
aaya	15	3	FALSE
ab	91	58	TRUE
aba	39	24	TRUE
ababuo	20	3	FALSE
abacate	57	45	TRUE
abacates	13	9	TRUE
abacaxi	176	128	TRUE
abacaxis	15	11	TRUE
abaddon	11	3	FALSE
abade	232	42	TRUE
abadessa	20	12	TRUE
abadia	98	46	TRUE
abadias	12	6	TRUE
abafa	17	15	TRUE
abafada	25	24	TRUE
abafadas	3	3	TRUE
abafado	138	126	TRUE
abafador	6	6	TRUE
abafadores	4	4	TRUE
abafados	21	16	TRUE
abafando	14	14	TRUE
abafar	63	58	TRUE
abafaram	8	8	TRUE
abafava	3	3	TRUE
abafou	13	11	TRUE
abagnale	46	3	FALSE
abaiada	3	3	FALSE
abaixa	477	332	TRUE
abaixada	186	149	TRUE
abaixadas	49	46	TRUE
abaixado	231	180	TRUE
abaixados	166	125	TRUE
abaixam	30	30	TRUE
abaixamos	14	14	TRUE
abaixando	63	59	TRUE
